loaded 150 scenarios
['data/labeled/220801/C/A/FFE809B4', 'data/labeled/220801/C/A/FFE809C3', 'data/labeled/220801/C/A/FFE809C8', 'data/labeled/220801/C/A/FFE809E9', 'data/labeled/220801/C/A/FFE809ED'] ...
클립 FFE80D86의 길이: 80초, 	'Turn'의 False 비율: 95.00%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80D95의 길이: 80초, 	'Turn'의 False 비율: 92.50%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80DA1의 길이: 80초, 	'Turn'의 False 비율: 93.75%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80DAD의 길이: 80초, 	'Turn'의 False 비율: 96.25%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80DB4의 길이: 80초, 	'Turn'의 False 비율: 95.00%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80DB5의 길이: 80초, 	'Turn'의 False 비율: 95.00%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80DD4의 길이: 80초, 	'Turn'의 False 비율: 91.25%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80DDF의 길이: 80초, 	'Turn'의 False 비율: 95.00%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80DED의 길이: 80초, 	'Turn'의 False 비율: 93.75%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80DF9의 길이: 80초, 	'Turn'의 False 비율: 93.75%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80E04의 길이: 80초, 	'Turn'의 False 비율: 92.50%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80E06의 길이: 80초, 	'Turn'의 False 비율: 93.75%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80E08의 길이: 80초, 	'Turn'의 False 비율: 96.25%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80E11의 길이: 80초, 	'Turn'의 False 비율: 92.50%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80E23의 길이: 80초, 	'Turn'의 False 비율: 86.25%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80E2E의 길이: 80초, 	'Turn'의 False 비율: 88.75%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80E30의 길이: 80초, 	'Turn'의 False 비율: 96.25%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80E32의 길이: 80초, 	'Turn'의 False 비율: 96.25%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80E40의 길이: 80초, 	'Turn'의 False 비율: 91.25%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80E47의 길이: 80초, 	'Turn'의 False 비율: 90.00%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80E53의 길이: 80초, 	'Turn'의 False 비율: 93.75%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80EA4의 길이: 80초, 	'Turn'의 False 비율: 96.25%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80EB2의 길이: 80초, 	'Turn'의 False 비율: 93.75%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80EBA의 길이: 80초, 	'Turn'의 False 비율: 95.00%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80EC6의 길이: 80초, 	'Turn'의 False 비율: 93.75%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80ED5의 길이: 80초, 	'Turn'의 False 비율: 93.75%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80EDB의 길이: 80초, 	'Turn'의 False 비율: 91.25%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 98.75%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80EF8의 길이: 80초, 	'Turn'의 False 비율: 95.00%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80EFB의 길이: 80초, 	'Turn'의 False 비율: 85.00%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80F12의 길이: 80초, 	'Turn'의 False 비율: 96.25%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 98.75%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80F8F의 길이: 80초, 	'Turn'의 False 비율: 91.25%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80F97의 길이: 80초, 	'Turn'의 False 비율: 87.50%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80F9A의 길이: 80초, 	'Turn'의 False 비율: 87.50%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80FC8의 길이: 80초, 	'Turn'의 False 비율: 98.75%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 98.75%, 	'Hazard'의 False 비율: 100.00%
