클립 FFE80A15의 길이: 611초, 	'Turn'의 False 비율: 95.25%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A16의 길이: 706초, 	'Turn'의 False 비율: 94.76%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A17의 길이: 461초, 	'Turn'의 False 비율: 95.23%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 99.78%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A18의 길이: 845초, 	'Turn'의 False 비율: 95.03%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A19의 길이: 442초, 	'Turn'의 False 비율: 94.34%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 99.77%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A1A의 길이: 388초, 	'Turn'의 False 비율: 96.65%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A1B의 길이: 465초, 	'Turn'의 False 비율: 95.05%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A1C의 길이: 556초, 	'Turn'의 False 비율: 95.14%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A1D의 길이: 744초, 	'Turn'의 False 비율: 94.89%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A1E의 길이: 768초, 	'Turn'의 False 비율: 97.92%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A1F의 길이: 520초, 	'Turn'의 False 비율: 93.46%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A20의 길이: 547초, 	'Turn'의 False 비율: 94.70%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A21의 길이: 543초, 	'Turn'의 False 비율: 96.32%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A22의 길이: 501초, 	'Turn'의 False 비율: 94.01%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A23의 길이: 877초, 	'Turn'의 False 비율: 97.15%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A25의 길이: 539초, 	'Turn'의 False 비율: 92.39%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A26의 길이: 669초, 	'Turn'의 False 비율: 94.47%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A27의 길이: 446초, 	'Turn'의 False 비율: 97.76%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A29의 길이: 643초, 	'Turn'의 False 비율: 97.05%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A2A의 길이: 574초, 	'Turn'의 False 비율: 95.12%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
